Run1 3/6/26,Time,Measurement,Run2 3/6/28,Time,Measurement,Run1 5/6/26,Time,Measurement,Run2 5/6/28,Time,Measurement,
,,,,,,BLACK TAPE,09:45,79.6,COPPER,10:44,,
,,,,,,,09:46,,,10:45,,
,,,,,,,09:47,77.2,,10:46,,
,,,,,,,09:48,,,10:47,,
,,,,,,,09:49,75.7,,10:48,,
,,,,,,,09:50,74.2,,10:49,,
,,,,,,,09:51,,,10:50,70.7,
,,,,,,,09:52,73.2,,10:51,70.9,
,,,,,,,09:53,,,10:52,,
,,,,,,,09:54,,,10:53,65.3,
,,,,,,,09:55,71.2,,10:54,,
,,,,,,,09:56,69.8,,10:55,59.8,
,,,,,,,09:57,,,10:56,,
,,,,,,,09:58,,,10:57,,
,,,,,,,09:59,69.2,,10:58,,
,,,,,,,10:00,,,10:59,51.6,
,,,,,,,10:01,67.3,,11:00,,
,,,,,,,10:02,66.3,,11:01,57.2,
,,,,,,,10:03,66.1,,11:02,53.2,
,,,,,,,10:04,,,11:03,,
,,,,,,,10:05,64.9,,11:04,58.9,
,,,,,,,10:06,,,11:05,,
,,,,,,,10:07,63.5,,11:06,,
,,,,,,,10:08,,,11:07,56.7,
,,,,,,,10:09,62.3,,11:08,,
,,,,,,,10:10,,,11:09,58.6,
,,,,,,,10:11,62,,11:10,,
,,,,,,,10:12,,,11:11,62.1,
,,,,,,,10:13,61.3,,11:12,,
,,,,,,,10:14,,,11:13,,
,,,,,,,10:15,59.3,,11:14,63.4,
,,,,,,,10:16,58.7,,11:15,,
,,,,,,,10:17,,,11:16,58.9,
,,,,,,,10:18,58.3,,11:17,,
,,,,,,,10:19,,,11:18,63.9,
,,,,,,,10:20,,,11:19,,
,,,,,,,10:21,56.5,,11:20,,
,,,,,,,10:22,,,11:21,57.2,
,,,,,,,10:23,55.8,,11:22,,
,,,,,,,10:24,,,11:23,53.1,
,,,,,,,10:25,55.3,,11:24,,
,,,,,,,10:26,,,11:25,58.9,
,,,,,,,10:27,53.7,,11:26,,
,,,,,,,10:28,,,11:27,51.1,
,,,,,,,10:29,53,,11:28,57.1,
,,,,,,,,,,,,
,,,,,,,,,,,,
