"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2";"Time (s) Run #3";"Temperature 1 (°C) Run #3";"Temperature 2 (°C) Run #3";"Temperature 3 (°C) Run #3"
0,000;79,66;80,27;79,49;0,000;79,95;78,07;77,83
0,050;79,67;80,27;79,49;0,050;79,97;78,08;77,83
0,100;79,68;80,27;79,48;0,100;79,98;78,08;77,83
0,150;79,68;80,27;79,48;0,150;80,00;78,09;77,83
0,200;79,69;80,27;79,48;0,200;80,01;78,10;77,84
0,250;79,70;80,27;79,48;0,250;80,02;78,11;77,84
0,300;79,70;80,27;79,47;0,300;80,04;78,12;77,84
0,350;79,71;80,27;79,48;0,350;80,06;78,13;77,84
0,400;79,72;80,27;79,47;0,400;80,07;78,14;77,84
0,450;79,72;80,27;79,47;0,450;80,08;78,15;77,84
0,500;79,73;80,27;79,47;0,500;80,10;78,15;77,85
0,550;79,74;80,28;79,47;0,550;80,11;78,16;77,84
0,600;79,74;80,28;79,47;0,600;80,13;78,17;77,85
0,650;79,75;80,27;79,46;0,650;80,14;78,17;77,85
0,700;79,76;80,28;79,46;0,700;80,15;78,19;77,85
0,750;79,76;80,28;79,46;0,750;80,16;78,19;77,85
0,800;79,76;80,28;79,45;0,800;80,18;78,20;77,85
0,850;79,78;80,28;79,45;0,850;80,19;78,21;77,85
0,900;79,78;80,28;79,45;0,900;80,21;78,22;77,86
0,950;79,79;80,28;79,45;0,950;80,22;78,22;77,86
1,000;79,79;80,28;79,45;1,000;80,24;78,24;77,86
1,050;79,80;80,28;79,44;1,050;80,25;78,24;77,86
1,100;79,81;80,28;79,44;1,100;80,26;78,25;77,86
1,150;79,81;80,28;79,44;1,150;80,27;78,26;77,87
1,200;79,82;80,28;79,43;1,200;80,28;78,26;77,87
1,250;79,82;80,28;79,44;1,250;80,30;78,27;77,87
1,300;79,83;80,29;79,43;1,300;80,31;78,28;77,87
1,350;79,83;80,29;79,42;1,350;80,32;78,28;77,87
1,400;79,84;80,29;79,42;1,400;80,34;78,29;77,87
1,450;79,85;80,29;79,42;1,450;80,35;78,30;77,88
1,500;79,85;80,29;79,42;1,500;80,36;78,31;77,88
1,550;79,86;80,29;79,41;1,550;80,38;78,31;77,88
1,600;79,87;80,29;79,41;1,600;80,39;78,32;77,88
1,650;79,87;80,29;79,41;1,650;80,40;78,32;77,88
1,700;79,87;80,29;79,40;1,700;80,41;78,33;77,89
1,750;79,88;80,29;79,40;1,750;80,42;78,34;77,89
1,800;79,89;80,29;79,39;1,800;80,43;78,34;77,89
1,850;79,89;80,29;79,39;1,850;80,45;78,35;77,89
1,900;79,90;80,30;79,39;1,900;80,45;78,36;77,89
1,950;79,90;80,29;79,39;1,950;80,47;78,36;77,90
2,000;79,91;80,30;79,39;2,000;80,48;78,37;77,90
2,050;79,91;80,30;79,38;2,050;80,49;78,37;77,90
2,100;79,92;80,30;79,37;2,100;80,50;78,38;77,90
2,150;79,93;80,30;79,37;2,150;80,51;78,39;77,90
