"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1";"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2"
0,000;73,90;75,33;72,65;0,000;77,39;80,82;77,53
0,050;73,89;75,33;72,65;0,050;77,39;80,82;77,53
0,100;73,90;75,33;72,65;0,100;77,39;80,82;77,53
0,150;73,89;75,33;72,65;0,150;77,39;80,82;77,53
0,200;73,89;75,33;72,65;0,200;77,38;80,82;77,53
0,250;73,89;75,33;72,65;0,250;77,38;80,82;77,53
0,300;73,89;75,33;72,65;0,300;77,38;80,82;77,53
0,350;73,89;75,33;72,65;0,350;77,38;80,82;77,53
0,400;73,89;75,33;72,65;0,400;77,38;80,82;77,53
0,450;73,89;75,33;72,65;0,450;77,38;80,82;77,53
0,500;73,89;75,33;72,65;0,500;77,37;80,82;77,53
0,550;73,89;75,32;72,65;0,550;77,37;80,82;77,53
0,600;73,89;75,33;72,65;0,600;77,37;80,82;77,53
0,650;73,89;75,33;72,65;0,650;77,37;80,82;77,53
0,700;73,89;75,33;72,64;0,700;77,36;80,82;77,53
0,750;73,89;75,33;72,64;0,750;77,36;80,82;77,53
0,800;73,89;75,32;72,65;0,800;77,36;80,82;77,53
0,850;73,89;75,32;72,64;0,850;77,36;80,82;77,53
0,900;73,89;75,33;72,64;0,900;77,36;80,82;77,53
0,950;73,89;75,32;72,65;0,950;77,36;80,82;77,53
1,000;73,89;75,33;72,64;1,000;77,36;80,82;77,53
1,050;73,89;75,32;72,64;1,050;77,35;80,82;77,53
1,100;73,89;75,32;72,64;1,100;77,35;80,82;77,53
1,150;73,89;75,32;72,64;1,150;77,35;80,83;77,53
1,200;73,89;75,32;72,64;1,200;77,35;80,82;77,53
1,250;73,89;75,32;72,64;1,250;77,35;80,82;77,53
1,300;73,89;75,32;72,64;1,300;77,35;80,82;77,53
1,350;73,89;75,32;72,64;1,350;77,35;80,82;77,53
1,400;73,89;75,32;72,64;1,400;77,34;80,82;77,53
1,450;73,88;75,32;72,64;1,450;77,35;80,83;77,53
1,500;73,89;75,32;72,64;1,500;77,34;80,82;77,53
1,550;73,89;75,32;72,64;1,550;77,34;80,82;77,53
1,600;73,88;75,32;72,64;1,600;77,33;80,82;77,53
1,650;73,88;75,32;72,64;1,650;77,34;80,82;77,53
1,700;73,88;75,31;72,64;1,700;77,34;80,82;77,53
1,750;73,88;75,31;72,63;1,750;77,33;80,82;77,53
1,800;73,88;75,31;72,64;1,800;77,33;80,82;77,53
1,850;73,88;75,31;72,64;1,850;77,33;80,82;77,53
1,900;73,88;75,31;72,64;1,900;77,33;80,82;77,53
1,950;73,88;75,32;72,63;1,950;77,33;80,82;77,52
2,000;73,88;75,31;72,63;2,000;77,33;80,82;77,53
2,050;73,88;75,31;72,63;2,050;77,33;80,82;77,53
2,100;73,88;75,31;72,63;2,100;77,32;80,83;77,53
2,150;73,88;75,31;72,63;2,150;77,33;80,82;77,53
2,200;73,88;75,31;72,63;2,200;77,32;80,82;77,53
2,250;73,88;75,31;72,63;2,250;77,32;80,82;77,53
2,300;73,88;75,31;72,63;2,300;77,32;80,82;77,53
2,350;73,88;75,31;72,63;2,350;77,32;80,82;77,52
2,400;73,88;75,31;72,63;2,400;77,32;80,82;77,53
2,450;73,88;75,31;72,63;2,450;77,32;80,82;77,52
2,500;73,88;75,31;72,63;2,500;77,32;80,82;77,52
2,550;73,88;75,31;72,63;2,550;77,32;80,82;77,52
2,600;73,88;75,31;72,63;2,600;77,32;80,82;77,52
2,650;73,87;75,31;72,63;2,650;77,32;80,82;77,52
2,700;73,88;75,31;72,63;2,700;77,31;80,82;77,52
2,750;73,88;75,31;72,62;2,750;77,31;80,82;77,52
2,800;73,88;75,30;72,63;2,800;77,31;80,82;77,52
2,850;73,87;75,31;72,62;2,850;77,31;80,82;77,52
2,900;73,87;75,31;72,62;2,900;77,31;80,82;77,52
2,950;73,87;75,30;72,62;2,950;77,31;80,82;77,53
3,000;73,87;75,31;72,62;3,000;77,31;80,82;77,52
3,050;73,87;75,31;72,62;3,050;77,31;80,82;77,52
3,100;73,87;75,31;72,62;3,100;77,31;80,81;77,52
3,150;73,87;75,30;72,62;3,150;77,31;80,81;77,52
3,200;73,87;75,30;72,62;3,200;77,31;80,81;77,52
3,250;73,87;75,30;72,62;3,250;77,31;80,82;77,52
3,300;73,87;75,30;72,62;3,300;77,31;80,81;77,52
3,350;73,87;75,30;72,62;3,350;77,30;80,81;77,52
3,400;73,87;75,30;72,62;3,400;77,31;80,81;77,52
3,450;73,87;75,30;72,62;3,450;77,30;80,81;77,52
3,500;73,87;75,30;72,62;3,500;77,30;80,81;77,52
3,550;73,87;75,30;72,61;3,550;77,30;80,81;77,52
3,600;73,87;75,30;72,61;3,600;77,30;80,81;77,51
3,650;73,87;75,30;72,61;3,650;77,30;80,81;77,52
3,700;73,87;75,30;72,61;3,700;77,30;80,81;77,51
3,750;73,87;75,30;72,61;3,750;77,30;80,81;77,51
3,800;73,86;75,30;72,61;3,800;77,30;80,81;77,51
3,850;73,86;75,30;72,61;3,850;77,30;80,81;77,51
3,900;73,86;75,30;72,61;3,900;77,30;80,81;77,51
3,950;73,86;75,30;72,61;3,950;77,29;80,81;77,51
4,000;73,86;75,30;72,61;4,000;77,29;80,80;77,51
4,050;73,86;75,30;72,61;4,050;77,30;80,80;77,51
4,100;73,86;75,30;72,60;4,100;77,29;80,81;77,51
4,150;73,86;75,30;72,61;4,150;77,29;80,80;77,51
4,200;73,86;75,29;72,60;4,200;77,29;80,80;77,51
4,250;73,85;75,29;72,60;4,250;77,29;80,80;77,51
4,300;73,86;75,30;72,61;4,300;77,29;80,80;77,50
4,350;73,86;75,29;72,60;4,350;77,29;80,80;77,50
4,400;73,85;75,30;72,60;4,400;77,29;80,80;77,50
4,450;73,85;75,29;72,60;4,450;77,29;80,80;77,50
4,500;73,85;75,30;72,60;4,500;77,29;80,80;77,50
4,550;73,85;75,30;72,60;4,550;77,29;80,80;77,50
4,600;73,85;75,30;72,60;4,600;77,29;80,79;77,50
4,650;73,85;75,30;72,60;4,650;77,28;80,79;77,50
4,700;73,85;75,29;72,60;4,700;77,28;80,79;77,50
4,750;73,85;75,29;72,60;4,750;77,28;80,79;77,49
4,800;73,85;75,30;72,60;4,800;77,28;80,79;77,49
4,850;73,85;75,29;72,60;4,850;77,29;80,79;77,50
4,900;73,85;75,29;72,60;4,900;77,28;80,79;77,49
4,950;73,84;75,30;72,59;4,950;77,28;80,79;77,49
5,000;73,84;75,29;72,60;5,000;77,28;80,79;77,49
5,050;73,84;75,30;72,59;5,050;77,28;80,79;77,49
5,100;73,84;75,29;72,59;5,100;77,28;80,79;77,49
5,150;73,84;75,29;72,59;5,150;77,28;80,78;77,48
5,200;73,84;75,29;72,59;5,200;77,28;80,79;77,49
5,250;73,84;75,29;72,59;5,250;77,28;80,78;77,49
5,300;73,84;75,29;72,59;5,300;77,28;80,78;77,49
5,350;73,84;75,29;72,59;5,350;77,28;80,78;77,48
5,400;73,84;75,30;72,59;5,400;77,28;80,78;77,49
5,450;73,84;75,29;72,58;5,450;77,28;80,78;77,48
5,500;73,84;75,29;72,58;5,500;77,28;80,78;77,48
5,550;73,84;75,29;72,59;5,550;77,27;80,78;77,48
5,600;73,84;75,29;72,58;5,600;77,27;80,78;77,48
5,650;73,83;75,29;72,59;5,650;77,27;80,77;77,47
5,700;73,84;75,29;72,58;5,700;77,27;80,77;77,48
5,750;73,83;75,29;72,58;5,750;77,27;80,77;77,47
5,800;73,83;75,28;72,58;5,800;77,27;80,77;77,47
5,850;73,83;75,29;72,58;5,850;77,27;80,77;77,47
5,900;73,83;75,29;72,58;5,900;77,27;80,77;77,47
5,950;73,83;75,29;72,58;5,950;77,27;80,77;77,47
6,000;73,83;75,29;72,57;6,000;77,27;80,77;77,47
6,050;73,83;75,29;72,58;6,050;77,27;80,77;77,47
6,100;73,83;75,29;72,58;6,100;77,27;80,76;77,47
6,150;73,83;75,28;72,58;6,150;77,27;80,76;77,46
6,200;73,83;75,29;72,57;6,200;77,27;80,76;77,46
6,250;73,82;75,29;72,57;6,250;77,27;80,76;77,46
6,300;73,82;75,29;72,57;6,300;77,27;80,76;77,46
6,350;73,83;75,28;72,57;6,350;77,27;80,76;77,45
6,400;73,82;75,29;72,57;6,400;77,27;80,76;77,45
6,450;73,82;75,28;72,57;6,450;77,27;80,76;77,45
6,500;73,82;75,28;72,57;6,500;77,26;80,76;77,45
6,550;73,82;75,28;72,57;6,550;77,26;80,76;77,45
6,600;73,82;75,28;72,57;6,600;77,26;80,75;77,45
6,650;73,82;75,28;72,57;6,650;77,26;80,75;77,45
6,700;73,82;75,28;72,57;6,700;77,26;80,75;77,45
6,750;73,82;75,28;72,57;6,750;77,26;80,75;77,45
6,800;73,81;75,28;72,56;6,800;77,26;80,75;77,44
6,850;73,81;75,28;72,56;6,850;77,27;80,75;77,44
6,900;73,81;75,28;72,56;6,900;77,26;80,75;77,44
6,950;73,81;75,28;72,56;6,950;77,26;80,75;77,44
7,000;73,81;75,28;72,56;7,000;77,26;80,75;77,44
7,050;73,81;75,28;72,56;7,050;77,26;80,75;77,43
7,100;73,81;75,28;72,56;7,100;77,26;80,74;77,43
7,150;73,81;75,28;72,56;7,150;77,26;80,74;77,43
7,200;73,81;75,28;72,56;7,200;77,26;80,74;77,43
7,250;73,81;75,28;72,56;7,250;77,26;80,74;77,43
7,300;73,80;75,28;72,56;7,300;77,26;80,74;77,42
7,350;73,81;75,28;72,56;7,350;77,26;80,74;77,42
7,400;73,80;75,28;72,55;7,400;77,26;80,74;77,42
7,450;73,80;75,27;72,55;7,450;77,26;80,74;77,42
7,500;73,80;75,27;72,55;7,500;77,25;80,73;77,42
7,550;73,80;75,27;72,55;7,550;77,26;80,73;77,42
7,600;73,80;75,27;72,56;7,600;77,25;80,73;77,41
7,650;73,80;75,27;72,55;7,650;77,26;80,73;77,41
7,700;73,80;75,27;72,55;7,700;77,25;80,73;77,41
7,750;73,80;75,27;72,55;7,750;77,25;80,73;77,41
7,800;73,80;75,27;72,55;7,800;77,25;80,73;77,40
7,850;73,80;75,27;72,55;7,850;77,25;80,73;77,40
7,900;73,79;75,27;72,55;7,900;77,25;80,72;77,40
7,950;73,79;75,27;72,55;7,950;77,25;80,73;77,40
8,000;73,79;75,27;72,55;8,000;77,25;80,72;77,40
8,050;73,79;75,27;72,55;8,050;77,25;80,72;77,40
8,100;73,79;75,27;72,54;8,100;77,25;80,72;77,39
8,150;73,79;75,27;72,54;8,150;77,25;80,72;77,39
8,200;73,79;75,27;72,54;8,200;77,25;80,72;77,39
8,250;73,79;75,27;72,54;8,250;77,25;80,72;77,39
