"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1";"Time (s) Run #2";"Temperature 1 (°C) Run #2";"Temperature 2 (°C) Run #2";"Temperature 3 (°C) Run #2";"Time (s) Run #3";"Temperature 1 (°C) Run #3";"Temperature 2 (°C) Run #3";"Temperature 3 (°C) Run #3"
0,000;64,84;75,30;74,36;0,000;53,98;53,97;53,05;0,000;86,50;85,80;84,89
0,050;64,96;75,30;74,36;0,050;54,04;54,01;53,12;0,050;86,50;85,79;84,89
0,100;65,08;75,30;74,36;0,100;54,09;54,05;53,18;0,100;86,50;85,80;84,89
0,150;65,20;75,29;74,36;0,150;54,14;54,09;53,25;0,150;86,50;85,79;84,88
0,200;65,30;75,29;74,36;0,200;54,19;54,13;53,31;0,200;86,50;85,79;84,88
0,250;65,41;75,29;74,36;0,250;54,24;54,17;53,37;0,250;86,50;85,80;84,88
0,300;65,52;75,29;74,36;0,300;54,29;54,21;53,43;0,300;86,50;85,79;84,88
0,350;65,63;75,28;74,36;0,350;54,33;54,24;53,49;0,350;86,49;85,79;84,88
0,400;65,74;75,28;74,35;0,400;54,37;54,28;53,54;0,400;86,50;85,80;84,88
0,450;65,84;75,28;74,36;0,450;54,41;54,31;53,58;0,450;86,49;85,80;84,87
0,500;65,94;75,28;74,36;0,500;54,46;54,34;53,64;0,500;86,49;85,79;84,88
0,550;66,04;75,27;74,35;0,550;54,49;54,38;53,69;0,550;86,49;85,79;84,87
0,600;66,14;75,27;74,36;0,600;54,53;54,40;53,74;0,600;86,49;85,79;84,87
0,650;66,24;75,26;74,35;0,650;54,57;54,44;53,78;0,650;86,49;85,79;84,87
0,700;66,33;75,26;74,35;0,700;54,60;54,47;53,82;0,700;86,49;85,79;84,87
0,750;66,43;75,26;74,35;0,750;54,63;54,49;53,87;0,750;86,48;85,79;84,87
0,800;66,52;75,26;74,36;0,800;54,67;54,52;53,91;0,800;86,48;85,79;84,86
0,850;66,61;75,25;74,35;0,850;54,70;54,55;53,95;0,850;86,48;85,79;84,86
0,900;66,70;75,25;74,35;0,900;54,73;54,57;54,00;0,900;86,47;85,79;84,86
0,950;66,79;75,25;74,35;0,950;54,76;54,60;54,03;0,950;86,48;85,79;84,86
1,000;66,87;75,24;74,35;1,000;54,78;54,62;54,07;1,000;86,47;85,79;84,86
1,050;66,96;75,25;74,35;1,050;54,81;54,65;54,11;1,050;86,47;85,79;84,86
1,100;67,04;75,24;74,36;1,100;54,84;54,67;54,14;1,100;86,47;85,79;84,86
1,150;67,12;75,24;74,35;1,150;54,86;54,70;54,18;1,150;86,47;85,79;84,86
1,200;67,20;75,24;74,35;1,200;54,88;54,72;54,21;1,200;86,47;85,79;84,85
1,250;67,28;75,23;74,35;1,250;54,91;54,74;54,24;1,250;86,47;85,79;84,86
