"Time (s) Run #1";"Temperature 1 (°C) Run #1";"Temperature 2 (°C) Run #1";"Temperature 3 (°C) Run #1"
0,000;75,72;76,94;79,67
0,050;75,72;76,94;79,67
0,100;75,73;76,94;79,66
0,150;75,73;76,94;79,66
0,200;75,72;76,93;79,66
0,250;75,72;76,93;79,65
0,300;75,72;76,93;79,65
0,350;75,73;76,93;79,65
0,400;75,72;76,93;79,65
0,450;75,72;76,92;79,64
0,500;75,72;76,92;79,64
0,550;75,72;76,92;79,64
0,600;75,72;76,92;79,64
0,650;75,72;76,92;79,64
0,700;75,72;76,91;79,63
0,750;75,72;76,92;79,63
0,800;75,72;76,91;79,63
0,850;75,72;76,91;79,63
0,900;75,72;76,91;79,62
0,950;75,72;76,91;79,62
1,000;75,72;76,91;79,62
1,050;75,72;76,91;79,62
1,100;75,71;76,90;79,61
1,150;75,72;76,91;79,62
1,200;75,72;76,90;79,61
1,250;75,72;76,90;79,61
1,300;75,72;76,90;79,60
1,350;75,71;76,90;79,60
1,400;75,72;76,90;79,60
1,450;75,71;76,89;79,60
1,500;75,71;76,89;79,59
1,550;75,71;76,89;79,59
1,600;75,71;76,89;79,59
1,650;75,71;76,89;79,59
1,700;75,71;76,89;79,59
1,750;75,71;76,89;79,58
1,800;75,71;76,89;79,58
1,850;75,70;76,88;79,58
1,900;75,71;76,88;79,58
1,950;75,71;76,88;79,58
2,000;75,71;76,88;79,58
2,050;75,71;76,88;79,57
2,100;75,70;76,88;79,57
2,150;75,70;76,88;79,57
2,200;75,71;76,87;79,56
2,250;75,70;76,87;79,56
2,300;75,70;76,87;79,56
2,350;75,70;76,87;79,56
2,400;75,70;76,87;79,55
2,450;75,70;76,87;79,56
2,500;75,70;76,87;79,55
2,550;75,70;76,87;79,55
2,600;75,70;76,86;79,55
2,650;75,70;76,86;79,55
2,700;75,70;76,86;79,54
2,750;75,70;76,86;79,54
2,800;75,69;76,86;79,54
2,850;75,70;76,86;79,54
2,900;75,70;76,85;79,54
2,950;75,70;76,85;79,54
3,000;75,70;76,85;79,53
3,050;75,69;76,86;79,53
3,100;75,69;76,85;79,53
3,150;75,69;76,85;79,53
3,200;75,69;76,85;79,53
3,250;75,69;76,85;79,52
3,300;75,69;76,85;79,52
3,350;75,69;76,85;79,52
3,400;75,69;76,85;79,52
3,450;75,69;76,84;79,52
3,500;75,68;76,84;79,51
3,550;75,69;76,84;79,51
3,600;75,69;76,84;79,51
3,650;75,69;76,84;79,51
3,700;75,68;76,84;79,51
3,750;75,68;76,84;79,51
3,800;75,68;76,84;79,51
3,850;75,68;76,84;79,50
3,900;75,68;76,84;79,50
3,950;75,68;76,83;79,50
4,000;75,68;76,84;79,50
4,050;75,68;76,83;79,50
4,100;75,68;76,83;79,49
4,150;75,68;76,83;79,49
4,200;75,67;76,83;79,50
4,250;75,68;76,83;79,49
4,300;75,67;76,83;79,50
4,350;75,67;76,83;79,49
4,400;75,67;76,83;79,49
4,450;75,67;76,83;79,49
4,500;75,67;76,82;79,49
4,550;75,67;76,82;79,49
4,600;75,67;76,82;79,49
4,650;75,67;76,82;79,49
4,700;75,67;76,82;79,49
4,750;75,66;76,82;79,49
4,800;75,66;76,82;79,49
4,850;75,66;76,82;79,48
4,900;75,66;76,82;79,48
4,950;75,66;76,82;79,48
5,000;75,66;76,82;79,48
5,050;75,66;76,81;79,48
5,100;75,66;76,81;79,48
5,150;75,66;76,81;79,48
5,200;75,66;76,81;79,48
5,250;75,65;76,81;79,48
5,300;75,65;76,81;79,48
5,350;75,65;76,81;79,48
5,400;75,65;76,81;79,48
5,450;75,65;76,80;79,47
5,500;75,65;76,81;79,48
5,550;75,65;76,81;79,48
5,600;75,64;76,81;79,47
5,650;75,64;76,80;79,47
5,700;75,64;76,80;79,47
